hero,P1,P2,P3,P4,P5
abaddon,0,0,1,1,1
alchemist,1,1,0,0,0
ancient_apparition,0,0,0,1,1
anti_mage,1,1,0,0,0
arc_warden,1,1,0,0,0
axe,0,1,1,1,0
bane,0,0,0,1,1
batrider,0,0,1,1,1
beastmaster,0,0,1,1,1
bloodseeker,1,1,1,0,0
bounty_hunter,1,1,1,1,0
brewmaster,1,1,1,1,1
bristleback,1,1,1,0,0
broodmother,1,1,1,0,0
centaur_warrunner,1,0,1,1,0
chaos_knight,1,0,1,1,0
chen,0,0,0,1,1
clinkz,1,1,1,0,0
clockwerk,0,0,1,1,1
crystal_maiden,0,0,0,1,1
dark_seer,0,0,1,1,0
dark_willow,0,0,1,1,1
dazzle,0,1,0,1,1
death_prophet,1,1,1,0,0
disruptor,0,0,0,1,1
doom,1,1,1,1,0
dragon_knight,1,1,1,0,0
drow_ranger,1,1,1,0,0
earth_spirit,0,0,0,1,1
earthshaker,0,0,1,1,1
elder_titan,0,0,1,1,1
ember_spirit,1,1,1,0,0
enchantress,0,1,1,1,1
enigma,0,0,1,1,1
faceless_void,1,0,1,0,0
grimstroke,0,0,0,1,1
gyrocopter,1,1,1,0,0
huskar,1,1,1,0,0
invoker,0,1,0,1,0
io,1,1,1,1,1
jakiro,0,0,0,1,1
juggernaut,1,0,1,0,0
keeper_of_the_light,0,0,0,1,1
kunkka,1,1,1,1,0
legion_commander,1,1,1,1,0
leshrac,0,1,1,1,1
lich,0,0,0,1,1
lifestealer,1,0,1,0,0
lina,1,1,1,1,1
lion,0,0,0,1,1
lone_druid,1,1,1,0,0
luna,1,1,1,0,0
lycan,1,1,1,0,0
magnus,0,1,1,1,1
mars,0,0,1,1,0
medusa,1,1,0,0,0
meepo,1,1,0,0,0
mirana,0,1,1,1,1
monkey_king,1,1,1,0,0
morphling,1,1,1,0,0
naga_siren,1,1,0,0,0
natures_prophet,1,1,1,1,1
necrophos,1,1,1,1,0
night_stalker,0,1,1,1,0
nyx_assassin,0,0,1,1,1
ogre_magi,0,1,1,1,1
omniknight,0,0,1,1,1
oracle,0,0,0,1,1
outworld_devourer,1,1,0,0,0
pangolier,0,1,1,1,0
phantom_assassin,1,1,1,0,0
phantom_lancer,1,1,1,0,0
phoenix,0,0,1,1,1
puck,0,1,1,1,1
pudge,1,1,1,1,1
pugna,0,1,1,1,1
queen_of_pain,1,1,1,0,0
razor,1,1,1,0,0
riki,1,1,1,1,0
rubick,0,1,0,1,1
sand_king,0,0,1,1,1
shadow_demon,0,0,0,1,1
shadow_fiend,1,1,1,0,0
shadow_shaman,0,0,0,1,1
silencer,0,1,0,1,1
skywrath_mage,0,1,0,1,1
slardar,1,1,1,0,0
slark,1,1,0,0,0
sniper,1,1,1,0,0
spectre,1,0,0,0,0
spirit_breaker,0,0,0,1,1
storm_spirit,1,1,0,0,0
sven,1,0,1,1,0
techies,0,0,0,1,0
templar_assassin,0,1,0,0,0
terrorblade,1,0,0,0,0
tidehunter,0,1,1,1,0
timbersaw,0,1,1,0,0
tinker,1,1,1,0,0
tiny,1,1,1,1,1
treant_protector,0,0,0,1,1
troll_warlord,1,1,1,0,0
tusk,0,0,0,1,1
underlord,0,0,1,1,0
undying,0,0,0,1,1
ursa,1,1,1,0,0
vengeful_spirit,1,1,1,1,1
venomancer,1,1,1,1,1
viper,1,1,1,0,0
visage,0,1,1,1,0
warlock,0,0,1,1,1
weaver,1,1,1,1,0
windranger,1,1,1,1,1
winter_wyvern,0,0,0,1,1
witch_doctor,0,0,0,1,1
wraith_king,1,0,1,0,0
zeus,1,1,1,1,0
