hero,P1,P2,P3,P4,P5
abaddon,0.00592254601814426,0.00592254601814426,0.39590030614928545,0.39590030614928545,0.1963542956651406
alchemist,0.3328793342413315,0.6352787294425412,0.010613978772042456,0.010613978772042456,0.010613978772042456
ancient_apparition,0.010270772940803238,0.010270772940803238,0.010270772940803238,0.2247992124396166,0.7443884687379737
anti_mage,0.9588828616115092,0.010279284597122705,0.010279284597122705,0.010279284597122705,0.010279284597122705
arc_warden,0.29959226279335305,0.6671027411153629,0.0111016653637613,0.0111016653637613,0.0111016653637613
axe,0.005371438087421387,0.005371438087421387,0.4919428428688679,0.4919428428688679,0.005371438087421387
bane,0.010558775973383606,0.010558775973383606,0.010558775973383606,0.24878959540990017,0.719534076669949
batrider,0.0061193743702843565,0.0061193743702843565,0.4516276407265746,0.4516276407265746,0.08450596980628212
beastmaster,0.005209087153199003,0.005209087153199003,0.4686731103737017,0.4686731103737017,0.05223560494619865
bloodseeker,0.44000651107900796,0.3099544902706846,0.2304311555130527,0.009803921568627453,0.009803921568627453
bounty_hunter,0.12971653746812295,0.17985287887288923,0.34195765646546156,0.34195765646546156,0.006515270728064737
brewmaster,0.0674500056490792,0.08530109592136483,0.3898994463902384,0.3898994463902384,0.0674500056490792
bristleback,0.11059040612951906,0.009708737864077669,0.8602833802782479,0.009708737864077669,0.009708737864077669
broodmother,0.07674079058590919,0.38401548523233037,0.5196358810445055,0.00980392156862745,0.00980392156862745
centaur_warrunner,0.044120135036363174,0.0051689115595859566,0.4727710209222325,0.4727710209222325,0.0051689115595859566
chaos_knight,0.5884268422364799,0.007863499218992475,0.19792307966276756,0.19792307966276756,0.007863499218992475
chen,0.009708737864077669,0.009708737864077669,0.009708737864077669,0.41112548012893513,0.5597483062788319
clinkz,0.36933196743408636,0.3335869432812334,0.27747324614742525,0.00980392156862745,0.00980392156862745
clockwerk,0.005192265154778397,0.005192265154778397,0.47038895421260346,0.47038895421260346,0.048837561265236265
crystal_maiden,0.009708737864077669,0.009708737864077669,0.009708737864077669,0.17135822771318168,0.7995155586945853
dark_seer,0.005333264748312458,0.005333264748312458,0.4920001028775313,0.4920001028775313,0.005333264748312458
dark_willow,0.0073440003088147306,0.0073440003088147306,0.3209582263740647,0.3209582263740647,0.34339554663424116
dazzle,0.009708737864077669,0.009708737864077669,0.009708737864077669,0.23556469616119569,0.7353090902465713
death_prophet,0.08891859472814181,0.702397221443107,0.18907634069149623,0.00980392156862745,0.00980392156862745
disruptor,0.010253594858229772,0.010253594858229772,0.010253594858229772,0.17368447320700725,0.7955547422183035
doom,0.06203642694360655,0.00525760607397825,0.46372418045421854,0.46372418045421854,0.00525760607397825
dragon_knight,0.21565994982109335,0.42028378014429973,0.34444842689735194,0.00980392156862745,0.00980392156862745
drow_ranger,0.6829549435062766,0.16302532645796167,0.1344118868985068,0.00980392156862745,0.00980392156862745
earth_spirit,0.012993730251618828,0.012993730251618828,0.012993730251618828,0.5467379735881461,0.4142808356569973
earthshaker,0.006792367895128801,0.006792367895128801,0.37908255827478543,0.37908255827478543,0.22825014766017163
elder_titan,0.006649397641093698,0.006649397641093698,0.36822518654467995,0.36822518654467995,0.25025083162845263
ember_spirit,0.24318573310365796,0.6742244977837119,0.06298192597537546,0.009803921568627453,0.009803921568627453
enchantress,0.005788930266012367,0.049387381026959214,0.4153180431327509,0.4153180431327509,0.1141876024415265
enigma,0.0055921421980951085,0.0055921421980951085,0.429601495794299,0.429601495794299,0.1296127240152118
faceless_void,0.5740580575215309,0.009708737864077669,0.396815728886236,0.009708737864077669,0.009708737864077669
grimstroke,0.009708737864077667,0.009708737864077667,0.009708737864077667,0.43449211817517475,0.5363816682325921
gyrocopter,0.6916766706682673,0.13035214085634256,0.15836334533813526,0.00980392156862745,0.00980392156862745
huskar,0.3224176268445522,0.38427329694764506,0.27370123307054783,0.00980392156862745,0.00980392156862745
invoker,0.009708737864077669,0.8808943707398444,0.009708737864077669,0.08997941566792254,0.009708737864077669
io,0.30084206700187793,0.08450960198703578,0.1569031320046041,0.1569031320046041,0.30084206700187793
jakiro,0.009708737864077669,0.009708737864077669,0.009708737864077669,0.29541336954667885,0.6754604168610882
juggernaut,0.8800047677123707,0.010235682495897427,0.08928818479993701,0.010235682495897427,0.010235682495897427
keeper_of_the_light,0.009708737864077669,0.009708737864077669,0.009708737864077669,0.3457861624198241,0.6250876239879429
kunkka,0.18512156181160444,0.33006608597239345,0.23863705260605084,0.23863705260605084,0.007538247003900487
legion_commander,0.14168468696146383,0.07124258270943662,0.39051913315044307,0.39051913315044307,0.006034464028213435
leshrac,0.00747274996728664,0.2937542164974061,0.24525225330404934,0.24525225330404934,0.20826852692720865
lich,0.009708737864077669,0.009708737864077669,0.009708737864077669,0.3396309216781839,0.6312428647295831
lifestealer,0.8569753763120683,0.009708737864077669,0.11389841009569866,0.009708737864077669,0.009708737864077669
lina,0.17641399216548692,0.33599065356332897,0.1555906810528486,0.1555906810528486,0.17641399216548692
lion,0.010387095354415616,0.010387095354415616,0.010387095354415616,0.20378072665654365,0.7650579872802095
lone_druid,0.32405047884924043,0.25761759507889537,0.39872408293460926,0.00980392156862745,0.00980392156862745
luna,0.8159425595964526,0.0560369375966154,0.10841265966967699,0.00980392156862745,0.00980392156862745
lycan,0.6478824966693754,0.11885216449139563,0.21365749570197407,0.00980392156862745,0.00980392156862745
magnus,0.006255621198899331,0.19940419470997123,0.3681822589111675,0.3681822589111675,0.05797566626879445
mars,0.005807526831854106,0.005807526831854106,0.49128870975221883,0.49128870975221883,0.005807526831854106
medusa,0.5632094670641903,0.4036870466416453,0.011034495431388132,0.011034495431388132,0.011034495431388132
meepo,0.2411916845598282,0.726747023228577,0.010687097403864922,0.010687097403864922,0.010687097403864922
mirana,0.006769249575966872,0.20073716219096252,0.31630579282734594,0.31630579282734594,0.15988200257837876
monkey_king,0.4309052525365309,0.29226707027849635,0.25721983404771803,0.009803921568627453,0.009803921568627453
morphling,0.6662011985803222,0.2214986066052329,0.09269235167718985,0.00980392156862745,0.00980392156862745
naga_siren,0.7746665889409219,0.19029853163113952,0.011678293142646174,0.011678293142646174,0.011678293142646174
natures_prophet,0.09739857924308805,0.004975124378109453,0.4001138585678572,0.4001138585678572,0.09739857924308805
necrophos,0.1643882181013718,0.1833346567978011,0.3227860180854903,0.3227860180854903,0.006705088929846632
night_stalker,0.006700184051783751,0.10509645620525042,0.440751587845591,0.440751587845591,0.006700184051783751
nyx_assassin,0.006051913524102708,0.006051913524102708,0.44255611456339083,0.44255611456339083,0.1027839438250129
ogre_magi,0.0076505336765490825,0.05549779069824383,0.22729609866854275,0.22729609866854275,0.4822594782881217
omniknight,0.006884126173125017,0.006884126173125017,0.2978191303412483,0.2978191303412483,0.3905934869712534
oracle,0.010354126668812216,0.010354126668812216,0.010354126668812216,0.1950970491293877,0.7738405708641757
outworld_devourer,0.10888233779582027,0.8603048912262343,0.010270923659315126,0.010270923659315126,0.010270923659315126
pangolier,0.005775513148961638,0.0612679871218949,0.4635904932900909,0.4635904932900909,0.005775513148961638
phantom_assassin,0.6887414056531703,0.1730805958747135,0.1185701553348612,0.009803921568627449,0.009803921568627449
phantom_lancer,0.7854266782731743,0.07542242520361074,0.1195430533859601,0.00980392156862745,0.00980392156862745
phoenix,0.005905649046546813,0.005905649046546813,0.42899583785363876,0.42899583785363876,0.13019702619962892
puck,0.0074280312822651885,0.5004623190175681,0.24234080920895074,0.24234080920895074,0.0074280312822651885
pudge,0.16784108449097376,0.1587141802563586,0.25280182538084695,0.25280182538084695,0.16784108449097376
pugna,0.007238883143743537,0.22397292469681304,0.2688728024819028,0.2688728024819028,0.23104258719563786
queen_of_pain,0.054216156414611555,0.7441217482809878,0.1820542521671458,0.00980392156862745,0.00980392156862745
razor,0.30284417092059857,0.38901610928231795,0.2885318766598286,0.00980392156862745,0.00980392156862745
riki,0.18405140789839855,0.14507488552128928,0.3321305689781668,0.3321305689781668,0.006612568623978547
rubick,0.00980392156862745,0.09793183428902777,0.00980392156862745,0.2686682559113459,0.6137920666623714
sand_king,0.005548478086123292,0.005548478086123292,0.4340552352154243,0.4340552352154243,0.1207925733969048
shadow_demon,0.010562049863106068,0.010562049863106068,0.010562049863106068,0.23309752312083287,0.735216327289849
shadow_fiend,0.009615384615384616,0.9615384615384615,0.009615384615384616,0.009615384615384616,0.009615384615384616
shadow_shaman,0.010292568826004218,0.010292568826004218,0.010292568826004218,0.19996155882343022,0.7691607346985571
silencer,0.00980392156862745,0.1884031274305129,0.00980392156862745,0.29688075647795653,0.4951082729542756
skywrath_mage,0.00980392156862745,0.2887050873832388,0.00980392156862745,0.2898679420010402,0.40181912747846604
slardar,0.2033782674874739,0.009708737864077669,0.767495518920293,0.009708737864077669,0.009708737864077669
slark,0.9570378179901297,0.010740545502467575,0.010740545502467575,0.010740545502467575,0.010740545502467575
snapfire,0.006137939549906095,0.006137939549906095,0.3739301659095783,0.3739301659095783,0.23986378908103118
sniper,0.26504118748060734,0.5471979501346226,0.16815301924751527,0.00980392156862745,0.00980392156862745
spectre,0.9586077020196653,0.010348074495083681,0.010348074495083681,0.010348074495083681,0.010348074495083681
spirit_breaker,0.010846467653776662,0.010846467653776662,0.010846467653776662,0.7205884024045182,0.24687219463415186
storm_spirit,0.009615384615384616,0.9615384615384615,0.009615384615384616,0.009615384615384616,0.009615384615384616
sven,0.7199708587560331,0.00851470722156452,0.13149986340041891,0.13149986340041891,0.00851470722156452
techies,0.013210021202990736,0.013210021202990736,0.013210021202990736,0.947159915188037,0.013210021202990736
templar_assassin,0.009615384615384616,0.9615384615384615,0.009615384615384616,0.009615384615384616,0.009615384615384616
terrorblade,0.9573439572552169,0.010664010686195753,0.010664010686195753,0.010664010686195753,0.010664010686195753
tidehunter,0.005403265543337727,0.005403265543337727,0.4918951016849934,0.4918951016849934,0.005403265543337727
timbersaw,0.010641972251366903,0.13837387883487892,0.8297002044110203,0.010641972251366903,0.010641972251366903
tinker,0.009615384615384616,0.9615384615384615,0.009615384615384616,0.009615384615384616,0.009615384615384616
tiny,0.16565719637839527,0.172775522947237,0.24795504214798628,0.24795504214798628,0.16565719637839527
treant_protector,0.009708737864077667,0.009708737864077667,0.009708737864077667,0.44997513352217433,0.5208986528855926
troll_warlord,0.7593517935527662,0.09991470967799557,0.12112565363198345,0.009803921568627453,0.009803921568627453
tusk,0.011397704326502956,0.011397704326502956,0.011397704326502956,0.6571358663357685,0.30867102068472263
underlord,0.005478338462486476,0.005478338462486476,0.4917824923062703,0.4917824923062703,0.005478338462486476
undying,0.009708737864077669,0.009708737864077669,0.009708737864077669,0.7302897985070985,0.24058398790066843
ursa,0.7000273641699222,0.08893355224669272,0.19143124044613036,0.009803921568627453,0.009803921568627453
vengeful_spirit,0.34970936731500113,0.038341158059467924,0.1311200536552649,0.1311200536552649,0.34970936731500113
venomancer,0.20264563408272263,0.0675692460563905,0.2635697428890821,0.2635697428890821,0.20264563408272263
viper,0.13683585456870886,0.5613447647873087,0.2822115375067276,0.00980392156862745,0.00980392156862745
visage,0.010818854842774152,0.41466033722226386,0.2818509765460939,0.2818509765460939,0.010818854842774152
void_spirit,0.07375719132615431,0.45168903968136903,0.20039828883316124,0.20039828883316124,0.07375719132615431
warlock,0.008351375085861352,0.008351375085861352,0.1993722339602299,0.1993722339602299,0.5845527819078176
weaver,0.21699859005992247,0.06298077919923699,0.3568262870886811,0.3568262870886811,0.006368056563478406
windranger,0.07799494420124545,0.21363832542080277,0.3151858930883532,0.3151858930883532,0.07799494420124545
winter_wyvern,0.010326022877909187,0.010326022877909187,0.010326022877909187,0.2575169722086626,0.7115049591576098
witch_doctor,0.009708737864077669,0.009708737864077669,0.009708737864077669,0.21561907368250013,0.7552547127252668
wraith_king,0.7389784309853001,0.009708737864077669,0.2318953554224668,0.009708737864077669,0.009708737864077669
zeus,0.08883805607458099,0.5335241767604604,0.18478315663512845,0.18478315663512845,0.0080714538947017
