,dire,radiant,anti-mage,axe,bane,bloodseeker,crystal-maiden,drow-ranger,earthshaker,juggernaut,mirana,morphling,shadow-fiend,phantom-lancer,puck,pudge,razor,sand-king,storm-spirit,sven,tiny,vengeful-spirit,windranger,zeus,kunkka,lina,lion,shadow-shaman,slardar,tidehunter,witch-doctor,lich,riki,enigma,tinker,sniper,necrophos,warlock,beastmaster,queen-of-pain,venomancer,faceless-void,wraith-king,death-prophet,phantom-assassin,pugna,templar-assassin,viper,luna,dragon-knight,dazzle,clockwerk,leshrac,nature's-prophet,lifestealer,dark-seer,clinkz,omniknight,enchantress,huskar,night-stalker,broodmother,bounty-hunter,weaver,jakiro,batrider,chen,spectre,ancient-apparition,doom,ursa,spirit-breaker,gyrocopter,alchemist,invoker,silencer,outworld-devourer,lycan,brewmaster,shadow-demon,lone-druid,chaos-knight,meepo,treant-protector,ogre-magi,undying,rubick,disruptor,nyx-assassin,naga-siren,keeper-of-the-light,io,visage,slark,medusa,troll-warlord,centaur-warrunner,magnus,timbersaw,bristleback,tusk,skywrath-mage,abaddon,elder-titan,legion-commander,techies,ember-spirit,earth-spirit,underlord,terrorblade,phoenix,oracle,winter-wyvern,arc-warden,monkey-king,dark-willow,pangolier,grimstroke,void-spirit,snapfire,mars
anti-mage,0.16650307974248005,0.13027133079967396,0.0,-0.23600434009110396,0.10959663223886162,0.0,0.0,-0.12055123535601421,-0.14702110317017839,0.10333504098230716,-0.0032275664946741257,0.043202823906436295,-0.10364280030008888,0.03273512846008688,-0.154405582268542,0.07687947855453754,0.20360398229100587,0.10787482546572547,0.2483780125431085,0.016611429926338215,-0.044443894925687025,0.0,0.01055909438528495,0.37785971240088484,0.0,-0.03225742926849516,0.0,-0.05882638464254409,-0.32455491018443877,0.0012483893638953253,0.10097728379154987,0.058415657422595205,-0.054744571132396405,0.008151487822879172,0.043848969901393045,0.10031629184805087,0.16211099889096656,0.06929696145133243,-0.12836670530496247,0.08946071283082152,0.031849134026012374,0.0,0.08293315540912961,0.1314841068217813,-0.24887826550938708,0.13488185790032783,-0.1468880390053001,0.0,-0.10021465307918953,-0.02795232757166565,0.0,0.19756147075884398,0.0,0.0,0.01962593148112934,0.1631483795135159,-0.09736508809241493,0.0,0.0,-0.1479967932407298,-0.10944728884759793,-0.317947848548321,-0.015152578904583516,0.1509669600480723,0.07034943366308453,0.0,0.0,0.1981792707458586,0.1809430816993095,-0.03866270448240928,-0.13570127459626463,-0.1425553540909578,0.0,-0.04386007648312789,-0.042165100754033194,0.0,0.0,0.0,0.1308597842726986,0.0,-0.26512391149751846,-0.1061321399505113,-0.5624355502441695,-0.025137552439773603,0.04564667693926231,0.0,0.003217269296404685,-0.007176378386464407,-0.08509969527978604,0.0,0.0,0.0,0.0,-0.06256962752538917,0.43837181769997613,-0.13745244221318836,-0.015557309011915118,-0.1156557079895248,0.0047462771197039014,0.17558639310964996,-0.03893865312520047,0.11553102822296185,0.04264666407954609,0.06696704293854881,-0.21160619178129764,0.1203010335295381,0.009403734334259537,0.0,0.05888596031934523,0.0,0.019096806818744195,0.12954283909518605,0.08054223547490445,0.16805241418284603,-0.18330717608035982,0.016106712788886302,-0.052453104593086664,0.0,0.10296445531817851,0.06390764321326406,0.0
axe,-0.020634785071832116,-0.06948055945753465,0.23600434009110396,0.0,0.0,0.0,-0.052657553780596986,0.055186820786599054,0.0,0.07738553705339332,0.009661373247938448,0.17226266070807605,0.0,0.2539885094878405,0.0,-0.009516607065905621,0.0,-0.06760594148069321,0.0,0.02433312049412068,0.020175017848407393,-0.06973083027889308,0.022546693699351833,-0.018298961668487605,-0.011281242436187293,0.016703414690135192,0.1249531685410116,0.011513356565150892,-0.026509729982311533,0.0,-0.1456455375984274,0.0,-0.022208802852544327,-0.0072415473760319635,0.0,0.2431226550663799,-0.06274166064554197,-0.05958579577200733,0.0,-0.056636526681007514,-0.1496994763772533,0.10056630687992343,0.0,0.0,0.1875422766033336,-0.13712557439817097,0.046600872678686366,-0.02969199065420557,0.0,-0.04879702684222406,0.007521075427304498,-0.05015831144613696,0.0,0.12598568497217316,0.0,0.0,0.051303491571418544,0.0,0.0,0.0,-0.008964940424833097,0.0,-0.11423266974095087,0.10990459086367209,-0.062441121199091315,-0.02289475702373484,0.1482820310126594,-0.02890975951207743,0.00846389782658395,-0.00536687731750467,-0.027288018539529342,-0.012700794745756697,0.0,0.0,0.0,0.02519115549898449,0.0,0.0,-0.02637044225633073,0.0,0.0,0.0,0.1206392642533441,-0.05766350053996531,-0.0030942724427431277,-0.0006311104061136662,0.08874986068826296,0.007842140084949422,0.0709300304361675,0.0,0.005721788957094904,0.0,0.0,0.0,0.0,0.0,0.08493120247575867,0.06775943554284837,-0.08036326545516438,0.0,0.0,0.0,-0.08331586649570422,0.0,0.06034385240043981,0.0,-0.0669188959843039,-0.1521384461846001,0.0,0.09241256196551845,-0.034082698412536645,-0.0900856517789354,-0.006096783073823542,-0.12539548141763304,-0.01721080852925291,0.0,-0.010348234914458564,-0.09990479034794938,0.0,0.0,0.0
bane,0.009744431103317146,0.02488418765171206,-0.10959663223886162,-0.0,0.0,0.0945613858466155,-0.005648570290680662,-0.012297720420622346,-0.06044029478316039,0.04959904678434782,-0.0010514826261051559,0.010034970794950332,0.0,0.0,0.0,0.015851728019405417,0.0,0.0,-0.03117934449884152,0.15052524858731922,0.0,0.02915123617405495,0.042227788454163584,0.0,0.0,0.03419285976872115,0.0,0.0,-0.00899439928408604,-0.001454937391902539,0.005948394027106218,0.030962402780897083,0.0,0.0,0.040312747045767545,-0.018796268891074965,0.0,0.0,-0.009969716297691179,0.10827150035909393,0.026702309085140468,0.014452705704387638,-0.057662448509106796,0.0,0.03384993126667171,0.20513605223908685,0.019202979568074173,0.05259793256602334,0.0,0.0,0.0,-0.05548180049820155,0.0,0.0,0.14395846591694716,0.0,0.05155206855788371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10990917917598178,-0.06620965685444173,0.0,0.0,0.0,0.1556320502794016,-0.011905818334854395,0.0469268190242148,0.034722919718439486,0.0,-0.03323058592549684,-0.003554577496360952,0.0,0.0,0.0,0.0,-0.03341193437115095,0.0,0.0,0.012230974632705718,0.0,0.01663722944276405,0.0013605709010819222,0.0,0.0,0.08927856524357838,0.10755035037376177,-0.10680069800030866,0.0,-0.007729821295949886,0.07664799377605412,0.0,0.0,0.0,0.0,0.0,-0.14875003371432285,0.0,0.0,0.12767405682806787,0.0,0.013598742718233801,0.0,0.0,-0.08147629768602017,0.0,0.0,0.0,0.0,0.0,0.0,0.022772044001913145,0.0,-0.023177234974753064,0.0,-0.045150492634595606
bloodseeker,0.12418592133895077,0.014895070109963503,-0.0,-0.0,-0.0945613858466155,0.0,0.0,0.02344585505914085,0.0,-0.07292454756129793,0.03745336087521796,-0.008895481261671294,-0.01338852970386423,0.0,-0.0605616897992287,0.0,0.0,0.07665173164517793,-0.08273574366571405,0.0,-0.020925429671229446,0.0,0.011981874597506497,-0.07581291031243792,0.19881813426153036,0.0,0.0,0.0,0.049387950641416864,0.0,0.16112865910681262,0.0,0.0,0.0,0.015070213168743199,0.0,-0.027875988668579214,0.011257605717849424,0.0,0.0,0.0,-0.10635717208779923,-0.025448665924994198,0.0,0.25330816393415134,0.0,0.11581011286547588,0.0,-0.00994877149883482,-0.0066963112257958585,0.0,0.0,0.0,0.059382846941314134,-0.15048152531304637,0.0,0.006395891500188351,0.0,0.0,0.0,0.01547983353430285,0.0,0.0,0.0,0.0,0.0,0.0,8.704733068274029e-07,-0.00874842873857666,0.037652639209530436,0.0,0.0,0.0,0.0,0.13735068533259898,0.04833333042157425,-0.05991413354922459,0.0,0.0,0.010364746433059931,0.0,0.0,0.0,-0.052959030876082815,-0.027387169922136023,0.0,-0.03908654777498492,0.095054619770388,0.0,0.0,0.0,0.0,-0.073069712538144,0.03863157902662666,0.0,0.046839226700112556,0.0,-0.0026234366757598797,0.23133933620041308,0.0,-0.02344849927186639,0.0,0.0,0.0,0.03520893409464456,0.0,0.0,-0.009517769038190821,0.15700546280582528,0.0,0.047954215512487686,0.0,0.0,0.09137513945525225,0.04829655728710748,0.0,0.03505963906470114,0.010780880410966429,0.009774064097150918,0.024315989003395162,-0.016161240158633735
crystal-maiden,0.024935375607146096,0.0,-0.0,0.052657553780596986,0.005648570290680662,-0.0,0.0,-0.11095229248096895,0.0,-0.11757735328778733,-0.005532023134116605,-0.012524778838599803,-0.013128907335964637,0.2246327798970114,0.0,-0.10438158054518963,0.0,-0.010451174475337782,0.0,-0.043384235840608784,0.02652411098731588,-0.03835177378320069,0.00022859497650763087,0.0,0.0,0.0,0.0,0.016835324139436916,0.0,0.0,-0.0038700499427922986,-0.01678692722553795,0.0,-0.022633822539861362,0.0,0.05972547075185046,0.0,0.08463167542973564,0.0,0.051017174539738336,0.0,0.0,0.033879892243959084,-0.057216689698520076,0.03102857753459646,0.0,0.0,0.0,0.03051476163909603,0.1244396095464258,0.0,0.0,0.0,0.12206615801719643,-0.023827835642275356,0.0,-0.018776731293132898,0.0,0.0,0.0,-0.01075768284949107,0.07488888009954141,-0.028984246166253426,0.0,-0.00035507911015314204,-0.018437566219478677,0.0,-0.04872871332093154,0.0,0.0,0.0,0.0,0.0,0.05110072203283068,0.042770540720626735,-0.08694722724742827,0.05735094567058731,0.0,0.0,0.0999290434371061,0.0,0.0,0.0,0.026001214909483678,0.0015937285406640517,-0.12509745917961584,-0.00599933906823492,-0.07255059286179191,-0.07382587741039388,0.0,0.0,0.049596490864411764,0.0,0.04467835737521237,-0.043423587218952446,0.058837192906772084,0.115646078601911,-0.0417994953101936,0.022940579779150944,0.0,0.025920038044368415,0.10427709121411496,0.0,0.0,-0.002356762890396522,0.0,0.033776861889454446,-0.04619226541772828,0.05914541387890962,0.0,-0.014235348651264308,0.0,0.0,0.002602153998624039,0.04154809665556712,0.02770387685764134,-0.0643358969353256,0.0,-0.0002782555665448268,0.0,-0.014987716250723664
drow-ranger,0.1705823752480183,0.09344035791629472,0.12055123535601421,-0.055186820786599054,0.012297720420622346,-0.02344585505914085,0.11095229248096895,0.0,0.0,0.01358732770206412,0.0,-0.07812094391247286,-0.0011013076566034575,-0.3263520879124869,-0.002022272882237455,-0.08153641860134904,0.0,-0.09948470636282569,-0.00532049912999733,0.0,0.0,0.03558308676427323,-0.06058155080798425,-0.21006760234745792,0.12398099018563673,0.0007719088687689127,0.0844302468648465,0.13386745361549238,0.05170124106814188,0.1274059194381597,0.0,0.0,0.0,0.0,-0.06877634433259656,-0.082944357881583,0.10866734884809763,0.0,0.0,-0.0041166833102879215,0.060073139129273756,-0.08502907025771433,-0.0138553782615066,0.0,0.0,0.0,0.0,0.014541799724557682,0.01729173797129079,0.023900993361838475,0.0,-0.1711704325112235,0.0,-0.09063108938224125,0.0670809175292605,-0.18560790864684193,0.15642454197468048,0.0,0.02324802477642153,0.007958355379388297,-0.01279134790453584,-0.04704983782600638,0.03651748467603248,-0.11650972088760587,0.0,0.0,0.0,-0.12946927593291918,0.0,0.02112443903076355,0.11395457813184406,-0.09266533346812313,0.0,0.0,0.0902576053532735,0.0,0.0,-0.20349882193910976,0.0,0.0,0.09883618141872814,0.0,0.0,0.0,0.023804903321604724,0.0,0.0772602483191622,0.06752712078339974,0.0,0.0,0.0,-0.06414808395777634,0.0,0.06730796724345221,0.0,0.14715507232067626,-0.009326995693470444,-0.025990668369338978,0.036278293027422887,0.2955763167958129,-0.08510384804295829,0.0,0.0,0.0,0.030059193634645907,0.0,0.06599033873409957,-0.14601057399822806,0.0,0.11756115288122951,0.005572545228928781,0.07054876699694641,0.0,-0.15161247340348785,0.0,-0.03550834179709536,0.10665349724072883,0.027471623694396083,-0.0013682572567036942,0.011183455122934264,-0.11350783358250796
earthshaker,0.004483004252207777,-0.011588782912479044,0.14702110317017839,-0.0,0.06044029478316039,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.06404359376379094,0.026704884988581812,0.08128287804378032,-0.08542431678328283,-0.0365838675115222,0.0,0.0,0.0,0.0,0.025747432889769443,-0.0328896647909541,0.003740024419306945,-0.07736273226292835,-0.08829501781250268,0.025712348959072165,-0.0420266577118939,-0.017362868330249637,0.09535091291639179,0.0,0.0,0.03238614001069702,-0.034974966874743184,0.0,-0.07811015460816892,-0.014814754265634797,0.07699167812166303,0.01620444124709821,0.07177101119254012,0.0,-0.09617017524108597,0.023674020129897173,-0.03413991769839427,-0.0386992280995459,0.013599730560094237,-0.044907247056194304,-0.015572578796446766,-0.11431407488741625,-0.01848199380745908,0.0,0.09894956398429317,-0.19601298560438535,0.0,0.0,0.02308698174712145,0.0,-0.07161911117823795,0.0,0.0,0.03977680438692751,-0.0670771122987639,0.14872943239873201,0.0,0.0,0.03451457914575091,0.0,0.02458735824774761,-0.027509640449107583,-0.10891550925362259,-0.04018715872759889,0.05919741864539551,0.010681947680667662,-0.10837578420088796,-0.09109296913448774,-0.05334066891046448,0.0,0.0,0.0,0.0,0.0689994506304297,0.09318960996841906,-0.032523805611485636,0.468835605499475,0.00021527600970206633,-0.08964122518777087,0.0,-0.08172195762399613,0.0,0.059360982624573705,0.15271024938066638,0.0,0.007614909713518199,0.0,0.07744284739636939,0.0,0.0,0.03260508255541754,-0.050917158888887634,0.0,0.09309489552630078,0.059583632089624604,-0.02316577556551781,0.0,0.08122637289200883,0.018679375210398096,0.0,0.0,0.010193969380712728,-0.012027054096067902,0.0,0.0,0.010225985515657902,0.0031687756042702783,-0.07267311148227325,0.0,-0.03643648382298339,0.0,-0.06371213741523353,0.0,-0.008367451042513623,0.0
juggernaut,0.1349499718622999,0.12302372235688176,-0.10333504098230716,-0.07738553705339332,-0.04959904678434782,0.07292454756129793,0.11757735328778733,-0.01358732770206412,-0.0,0.0,-0.03797910631851477,-0.11116193996557255,0.046507017547656335,0.0,0.015722043224410547,0.015893275832077256,0.0,0.044716740690494784,-0.09167863848233848,0.01863640158070979,0.0,0.0,-0.12904716681576794,0.13072698376459208,0.05280546479348155,0.0,-0.0758555770262963,-0.08464646209111874,0.05756082766423541,0.1443186320171829,0.015840950834091073,0.0,-0.13507683436080478,0.0,0.0,0.057107482158764,-0.05360682912941141,0.022923071946052708,-0.011303794733861765,-0.034939575194616525,0.0555091726596744,-0.09970787033577873,0.03679226069759919,0.015982050504245705,0.0519895460019643,0.06568916175479934,0.0,0.18106087970075987,0.0,0.0614297571278341,0.0,0.006291666300273409,-0.02850140066262798,-0.11166304146088778,0.06695845394772462,0.0,0.0,-0.013506652926573257,0.0,0.0,-0.07069747624123204,0.0,0.0,-0.13170158891254996,0.05136671760243136,0.0,-0.19140519682052443,0.0,0.0,0.02427860723823186,-0.0962491320139311,-0.09076808209543787,0.0,0.043452161170936615,0.06555803871268748,0.0,0.06234638173095893,0.0,0.03905239187965294,0.0,0.0,0.00041784141048983197,0.0,0.0862326693019039,0.0,0.03135153978073754,-0.052502059015083674,-0.03873744507162859,0.009174292054185197,0.0,0.0,-0.03815153494890203,0.0,-0.031817580045271625,-0.009188013205356565,-0.0498878359423118,0.16279535924292024,-0.024374956181779598,0.057979492136353575,0.12460752595616013,0.01990705932167872,0.0,0.0,0.0,-0.12508170978818725,0.10736913433928033,0.08423085923582585,0.022952225874306172,0.1867898654429977,-0.01757491853678157,0.07611837622098966,-0.013674260012425056,-0.052039513697504716,-0.015033014123234812,-0.028958495399628265,0.05485213804854055,0.11529216091948424,0.06778825790363692,0.0,0.0,0.08676931079747335
mirana,0.03785056632293961,0.02091080085328189,0.0032275664946741257,-0.009661373247938448,0.0010514826261051559,-0.03745336087521796,0.005532023134116605,-0.0,-0.0,0.03797910631851477,0.0,0.10271744963326226,0.0,0.0,-0.09553070729746475,-0.05118609436441574,0.0,-0.07304600372402481,0.031885299760654386,-0.03348954329447798,0.0,0.0,0.0,0.0,-0.03031139086324897,0.010973891884476592,0.02538045144874899,0.0,-0.029035001093357375,0.0,0.08722951598712884,0.03447236163800869,-0.008570174397704487,0.0,0.10234917263398928,0.0,-0.06273073033929007,0.0,0.011767541282711146,0.025652082267359978,0.03164682571485766,-0.03421730334411052,-0.07621745271643496,0.06167413367196867,0.01899552353215941,-0.036356255249590824,0.0,0.0,-0.03546954721982397,0.0,0.0,0.0,0.04651845842626688,0.061134126436199566,0.0,0.15500084457023391,0.0,-0.005185878687728837,0.0,0.0,0.05626306798522446,0.002795266177829942,0.0,0.08321770821496545,0.0,0.05667306604231262,0.0,0.0,0.0,-0.017518443486222,0.03351777307248316,-0.04862163966508914,0.13656872121017216,0.01726683566522097,0.07716136486350907,0.0,0.11258754302471538,0.0,0.040157143680487575,0.0,-0.014507502649853609,0.0,-0.010415971454217743,0.0400896828241681,0.0,0.021072531488055234,0.0,-0.020726366350646598,-0.052728771387764224,0.0,-0.046279279931642096,0.0,0.0,0.0023886730464388276,-0.1264931065947665,-0.004203225798384566,0.0,0.0,0.0012126083931803544,0.0,0.008737857903088326,0.0,0.0,0.0,-0.051555916184320365,0.0,-0.05053732990099094,-0.0008571353122200434,-0.029714841236573527,-0.05952268240495049,0.050531674085367614,0.0,0.11763007973812652,0.014094846358013427,0.011821246858549904,0.0,0.04957744089978879,0.013454723802669427,0.0,0.0,0.00876964879163669
morphling,0.0,-0.05431958791251596,-0.043202823906436295,-0.17226266070807605,-0.010034970794950332,0.008895481261671294,0.012524778838599803,0.07812094391247286,-0.06404359376379094,0.11116193996557255,-0.10271744963326226,0.0,-0.1200325271239844,-0.062425104752035075,-0.10152920470720712,-0.026274832262659673,0.0,0.0,-0.1138174228283103,0.12705099848300325,-0.08319436284467993,-0.011184495543717417,0.0698056516758027,-0.07305621348066085,0.04565089102099878,-0.04127809962539067,-0.06861205610113714,0.0,0.002962902172070043,0.0,0.0,0.0073126835295314494,-0.03143459174665079,0.0,-0.227104249144098,0.1717041669038613,0.008807279437513478,0.0,0.0,0.0,0.09278207872325693,0.0,0.045033009734052505,0.0,0.0814383186826909,0.0,0.0,0.01802187998349897,0.0,-0.0577531079388582,0.0,0.0,0.0,0.04410807415552399,0.11930065753415073,-0.0472683013307387,0.0024165346743365568,0.0,0.0,0.0,0.04767925918623394,-0.03656831238418483,0.0,0.01604589850176028,0.004211584575888537,0.0,0.0,-0.018646610428685782,-0.17262458792228325,0.0,0.0,0.016465805377759147,0.011075830209702528,0.0,0.054357239122435126,0.01863577638346618,-0.3334505569840914,0.0,0.0,0.0,0.0,0.0,0.0,0.12364953529540343,-0.0927228432250786,0.1421320670484777,-0.12276494135083407,-0.04985444182379159,-0.06391536529982053,-0.09560519365843327,0.0,0.0,0.0,0.0,0.0,0.054473592030593834,-0.007691253148250881,-0.0014691235829499395,-0.080342145663929,0.14105408034099023,0.0,-0.030459222308743563,0.0,-0.059173919975694884,0.008830905057275606,-0.39487539575470615,0.21843646846201747,-0.04510985715673369,0.028664272193294607,0.0,0.013057313414037222,0.0,0.0,0.09814681330723808,0.0,-0.03224890115079051,0.03457569070187759,0.0,0.0,0.0,-0.07564199945915913
